identifierHash,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,country_short_list,x,y,kmeans
6533274204095500407,UK,en,3,8,1,0,0,0.0,0,0,F,False,False,False,True,270,2856,UK,-0.15978766346870854,-0.07349644953753982,0.0
-4431055935354387033,France,fr,3,8,1,0,0,0.0,0,0,M,True,False,True,True,541,2856,France,-0.15983005495308708,-0.07357037516861444,0.0
-484615384048321943,Nouvelle Zélande,en,3,8,1,0,0,0.0,0,0,F,True,False,True,True,603,2856,Other,-0.15983975337386747,-0.07358728804362044,0.0
2420749547786538701,US,en,3,8,0,0,0,0.0,2,0,F,False,False,False,True,692,2856,US,-0.12921049480458796,-0.11182127952732651,0.0
1869424393916631207,UK,en,4,8,0,0,0,0.0,0,1,F,False,False,False,True,103,2856,UK,-0.15752594308401055,-0.0809525537034363,0.0
-9140170671969412964,France,fr,3,8,1,0,0,0.0,0,0,F,False,False,False,True,12,2856,France,-0.15974730552417096,-0.07342607015445042,0.0
628246376237243386,Germany,de,3,8,4,0,0,0.0,0,0,F,False,False,False,True,102,2856,Germany,-0.15258635191404457,-0.04215947415245923,0.0
-4986892569553189038,Italy,it,4,9,1,0,0,0.0,1,2,F,True,False,True,True,690,2856,Italy,-0.1329737297645808,-0.08138691361046142,0.0
5761744233632436928,US,fr,6,8,2,0,0,0.0,55,0,F,False,False,False,True,78,2856,US,0.756997800088742,-0.8146647975172313,0.0
3993040917276704177,Belgium,en,3,8,2,0,0,0.0,0,0,F,True,False,True,True,76,2856,Belgium,-0.1573656394762772,-0.06301314628954267,0.0
-8542491542885408211,UK,en,19,38,331,1,1,0.0,10,31,F,True,False,True,True,11,2856,UK,1.0018280131438022,3.392223192272308,1.0
8554859397518538015,Portugal,en,3,8,1,0,0,0.0,31,0,F,False,False,False,True,67,2856,Other,0.3522843871990741,-0.5040207041337054,0.0
-2935130099795833036,France,fr,3,8,4,0,0,0.0,0,1,F,True,False,True,True,44,2856,France,-0.1499183921425515,-0.04330842894926814,0.0
1337121242043282269,US,en,3,8,0,0,0,0.0,1,0,F,True,False,True,True,695,2856,US,-0.1457283929914333,-0.09793243238829794,0.0
8504131601609363447,Italy,it,5,9,5,0,2,100.0,0,0,F,True,False,True,False,20,2856,Italy,-0.14200315671594693,-0.016325526724985634,0.0
1632480531016697094,US,en,5,9,1,1,0,0.0,0,0,F,True,False,True,True,679,2856,US,-0.15247536812801088,-0.0598566094213043,0.0
-5496336968824520829,Italy,it,8,8,37,0,0,0.0,17,0,F,True,True,False,True,12,2856,Italy,0.21699130689707022,0.08641087478352444,0.0
2800095833279588380,US,en,3,8,0,0,0,0.0,1,0,F,False,False,False,True,605,2856,US,-0.14571431463868756,-0.09790788144070861,0.0
-418929255383503571,US,en,3,8,0,0,0,0.0,0,1,F,False,False,False,True,655,2856,US,-0.1595806777989098,-0.08519663187067655,0.0
-1503479520199887981,Canada,en,9,9,1,0,0,0.0,0,0,F,False,False,False,True,506,2856,Canada,-0.1449382129498728,-0.044650006910802814,0.0
5635336615257076244,US,en,3,8,1,0,0,0.0,0,0,F,False,False,False,True,621,2856,US,-0.15984256904441657,-0.07359219823313833,0.0
3320113343614899097,Italy,it,3,8,62,0,0,0.0,7,0,F,True,True,False,True,11,2856,Italy,0.10176716983931168,0.46559986541435666,0.0
6986367562385775075,UK,en,3,8,66,0,0,0.0,5,1,F,True,True,True,True,127,2856,UK,0.08093976292915166,0.5339043057262121,0.0
4121119367867274578,US,en,3,8,0,0,0,0.0,4,0,F,False,False,False,True,695,2856,US,-0.09617610626617192,-0.1396014289001426,0.0
2470209242075692242,US,en,4,8,0,0,0,0.0,0,1,F,False,False,False,True,661,2856,US,-0.15761322887103366,-0.08110476957849022,0.0
9189123481293111954,Germany,en,3,8,1,0,0,0.0,0,0,F,False,False,False,True,687,2856,Germany,-0.15985289316976345,-0.0736102022613705,0.0
4313817005371688829,US,en,4,8,29,0,0,0.0,1,0,F,True,True,False,True,683,2856,US,-0.07439948608524512,0.20864542727268492,0.0
-21426772852257210,UK,en,5,10,3,0,0,0.0,6,0,F,True,False,True,True,12,2856,UK,-0.045770518102476294,-0.11901664743117711,0.0
-3360986280025661124,Netherlands,en,3,8,0,0,0,0.0,1,0,F,True,False,True,True,32,2856,Netherlands,-0.1456246824595402,-0.0977515737410565,0.0
1834307697455965592,UK,en,3,8,11,0,0,0.0,0,0,F,False,False,False,True,18,2856,UK,-0.1358314708714472,0.030876116280978836,0.0
-1736794147542160751,US,en,3,8,1,0,0,0.0,2,0,F,False,False,False,True,601,2856,US,-0.12680458270474332,-0.10136607347490378,0.0
-6194706967364623,Bahreïn,en,3,8,7,0,0,0.0,0,0,F,True,False,True,True,695,2856,Other,-0.14550408065315235,-0.011030090668661752,0.0
5846001831769756001,Italy,it,3,8,0,1,0,0.0,0,0,F,True,False,True,True,648,2856,Italy,-0.16187501338793256,-0.08281535987930823,0.0
-8057922447958591240,UK,en,3,8,2,0,0,0.0,45,0,F,False,False,False,True,142,2856,UK,0.5859083372772965,-0.688066097995445,0.0
7231806078209853039,France,fr,4,8,3,0,0,0.0,1,0,M,True,False,True,True,14,2856,France,-0.1364784473413932,-0.06236201757993245,0.0
7831284683765286797,France,fr,3,9,0,0,0,0.0,55,4,M,False,False,False,True,269,2856,France,0.7599909960006207,-0.8481674413223386,0.0
-8497515838914332035,UK,en,3,8,2,0,0,0.0,0,1,F,False,False,False,True,635,2856,UK,-0.15479419463416275,-0.06433041147149186,0.0
-5669622512592755664,US,en,3,8,1,0,0,0.0,1,0,F,False,False,False,True,695,2856,US,-0.14333671567047593,-0.0875020500717711,0.0
